time;longitude;latitude;altitude;speed;bearing;accuracy
=60*60*16+60*33+38.197;8.311127;47.000387;492.0;17.75;167.0;3.0
=60*60*16+60*33+39.192;8.311163;47.000225;492.0;18.25;170.0;3.9
=60*60*16+60*33+39.196;8.311163;47.000225;492.0;18.25;170.0;3.0
=60*60*16+60*33+40.191;8.311197;47.000058;492.0;18.75;172.0;3.9
=60*60*16+60*33+40.196;8.311197;47.000058;492.0;18.75;172.0;3.0
=60*60*16+60*33+41.191;8.31122;46.999887;492.0;19.0;174.0;3.9
=60*60*16+60*33+41.196;8.31122;46.999887;492.0;19.0;174.0;3.0
=60*60*16+60*33+42.192;8.31124;46.999709;493.0;19.25;176.0;3.9
=60*60*16+60*33+42.198;8.31124;46.999709;493.0;19.25;176.0;3.0
=60*60*16+60*33+43.202;8.311245;46.999546;494.0;19.0;179.0;3.9
=60*60*16+60*33+43.254;8.311245;46.999546;494.0;19.0;179.0;3.0
=60*60*16+60*33+44.191;8.311235;46.99938;494.0;18.5;182.0;3.9
=60*60*16+60*33+44.195;8.311235;46.99938;494.0;18.5;182.0;3.0
=60*60*16+60*33+45.268;8.311205;46.999223;494.0;17.75;187.0;3.9
=60*60*16+60*33+45.289;8.311205;46.999223;494.0;17.75;187.0;3.0
=60*60*16+60*33+46.217;8.311157;46.999076;495.0;17.0;190.0;3.9
=60*60*16+60*33+46.265;8.311157;46.999076;495.0;17.0;190.0;3.0
=60*60*16+60*33+47.204;8.311103;46.998936;495.0;16.25;192.0;3.9
=60*60*16+60*33+47.288;8.311103;46.998936;495.0;16.25;192.0;3.0
=60*60*16+60*33+48.212;8.311049;46.998802;495.0;15.5;193.0;3.9
=60*60*16+60*33+48.297;8.311049;46.998802;495.0;15.5;193.0;3.0
=60*60*16+60*33+49.204;8.311;46.998672;495.0;15.25;193.0;4.0
=60*60*16+60*33+49.255;8.311;46.998672;495.0;15.25;193.0;4.0
=60*60*16+60*33+50.205;8.310951;46.998534;496.0;15.25;193.0;6.0
=60*60*16+60*33+50.263;8.310951;46.998534;496.0;15.25;193.0;6.0
=60*60*16+60*33+51.199;8.310904;46.998401;495.0;15.25;193.0;6.0
=60*60*16+60*33+52.240;8.31098;46.998341;494.0;11.75;181.0;6.0
=60*60*16+60*33+53.201;8.310867;46.998263;495.0;11.0;191.0;6.0
=60*60*16+60*33+54.252;8.310798;46.99824;494.0;7.75;203.0;4.0
=60*60*16+60*33+55.199;8.310774;46.998174;495.0;7.0;200.0;4.0
=60*60*16+60*33+57.196;8.310718;46.998099;495.0;5.25;202.0;4.0
=60*60*16+60*33+58.194;8.310684;46.998048;495.0;6.25;203.0;5.0
=60*60*16+60*33+59.266;8.310627;46.997978;496.0;8.0;205.0;4.0
=60*60*16+60*34+00.199;8.310582;46.997906;497.0;9.5;197.0;4.0
=60*60*16+60*34+00.285;8.310582;46.997906;497.0;9.5;197.0;4.0
=60*60*16+60*34+01.244;8.310577;46.9978;498.0;11.0;184.0;3.9
=60*60*16+60*34+02.321;8.310577;46.9978;498.0;11.0;184.0;3.0
=60*60*16+60*34+02.359;8.310578;46.997696;499.0;11.5;180.0;3.9
=60*60*16+60*34+02.372;8.310578;46.997696;499.0;11.5;180.0;3.0
=60*60*16+60*34+03.202;8.310565;46.997578;500.0;12.25;183.0;4.0
=60*60*16+60*34+03.231;8.310565;46.997578;500.0;12.25;183.0;4.0
=60*60*16+60*34+04.200;8.310531;46.997457;501.0;13.0;188.0;4.0
=60*60*16+60*34+04.274;8.310531;46.997457;501.0;13.0;188.0;4.0
=60*60*16+60*34+05.199;8.31049;46.997342;501.0;13.0;192.0;3.9
=60*60*16+60*34+05.273;8.31049;46.997342;501.0;13.0;192.0;3.0
=60*60*16+60*34+06.200;8.310451;46.997228;502.0;13.25;195.0;3.9
=60*60*16+60*34+06.480;8.310451;46.997228;502.0;13.25;195.0;3.0
=60*60*16+60*34+07.199;8.3104;46.99711;504.0;13.5;196.0;3.9
=60*60*16+60*34+07.274;8.3104;46.99711;504.0;13.5;196.0;3.0
=60*60*16+60*34+08.192;8.310344;46.996999;505.0;13.5;197.0;3.9
=60*60*16+60*34+08.197;8.310344;46.996999;505.0;13.5;197.0;3.0
=60*60*16+60*34+09.192;8.310292;46.996909;505.0;13.75;198.0;4.0
=60*60*16+60*34+09.199;8.310292;46.996909;505.0;13.75;198.0;4.0
=60*60*16+60*34+10.195;8.310231;46.996792;508.0;13.75;200.0;3.9
=60*60*16+60*34+10.224;8.310231;46.996792;508.0;13.75;200.0;3.0
=60*60*16+60*34+11.201;8.310164;46.996672;510.0;13.75;201.0;3.9
=60*60*16+60*34+11.238;8.310164;46.996672;510.0;13.75;201.0;3.0
=60*60*16+60*34+12.250;8.310096;46.996561;511.0;13.5;203.0;3.9
=60*60*16+60*34+12.273;8.310096;46.996561;511.0;13.5;203.0;3.0
=60*60*16+60*34+13.201;8.310019;46.996454;513.0;13.5;205.0;3.9
=60*60*16+60*34+13.274;8.310019;46.996454;513.0;13.5;205.0;3.0
=60*60*16+60*34+14.231;8.309938;46.996342;514.0;13.5;207.0;3.9
=60*60*16+60*34+14.244;8.309938;46.996342;514.0;13.5;207.0;3.0
=60*60*16+60*34+15.191;8.30986;46.996238;516.0;13.25;208.0;3.9
=60*60*16+60*34+15.199;8.30986;46.996238;516.0;13.25;208.0;3.0
=60*60*16+60*34+16.191;8.309775;46.996134;517.0;13.25;208.0;3.9
=60*60*16+60*34+16.197;8.309775;46.996134;517.0;13.25;208.0;3.0
=60*60*16+60*34+17.191;8.309703;46.996028;519.0;13.25;209.0;3.9
=60*60*16+60*34+17.195;8.309703;46.996028;519.0;13.25;209.0;3.0
=60*60*16+60*34+18.191;8.309625;46.995928;520.0;13.25;210.0;3.9
=60*60*16+60*34+18.196;8.309625;46.995928;520.0;13.25;210.0;3.0
=60*60*16+60*34+19.192;8.309529;46.995828;522.0;13.0;211.0;3.9
=60*60*16+60*34+19.198;8.309529;46.995828;522.0;13.0;211.0;3.0
=60*60*16+60*34+20.192;8.309432;46.995731;523.0;13.0;213.0;3.9
=60*60*16+60*34+20.196;8.309432;46.995731;523.0;13.0;213.0;3.0
=60*60*16+60*34+21.192;8.309338;46.995637;524.0;12.5;215.0;3.9
=60*60*16+60*34+21.200;8.309338;46.995637;524.0;12.5;215.0;3.0
=60*60*16+60*34+22.192;8.309243;46.995551;525.0;12.0;216.0;3.9
=60*60*16+60*34+22.197;8.309243;46.995551;525.0;12.0;216.0;3.0
=60*60*16+60*34+23.192;8.309151;46.995467;527.0;12.0;217.0;3.9
=60*60*16+60*34+23.198;8.309151;46.995467;527.0;12.0;217.0;3.0
=60*60*16+60*34+24.191;8.309057;46.995382;527.0;12.25;217.0;4.0
=60*60*16+60*34+24.200;8.309057;46.995382;527.0;12.25;217.0;4.0
=60*60*16+60*34+25.192;8.30896;46.995297;528.0;12.25;217.0;5.0
=60*60*16+60*34+25.198;8.30896;46.995297;528.0;12.25;217.0;5.0
=60*60*16+60*34+26.192;8.30887;46.995214;528.0;12.0;219.0;4.0
=60*60*16+60*34+26.198;8.30887;46.995214;528.0;12.0;219.0;4.0
